[2026-01-16T23:32:47.464Z] 
=== Starting validation for: boy.zip ===
[2026-01-16T23:32:47.465Z] ZIP file size: 1MB
[2026-01-16T23:32:47.498Z] Total entries: 1291
[2026-01-16T23:32:47.499Z] Checking: pack.mcmeta (isDirectory: false)
[2026-01-16T23:32:47.499Z] Found pack.mcmeta
[2026-01-16T23:32:47.501Z] Checking: assets/minecraft/atlases/blocks.json (isDirectory: false)
[2026-01-16T23:32:47.502Z] Found assets folder content
[2026-01-16T23:32:47.503Z] Checking: assets/minecraft/models/item/crossbow.json (isDirectory: false)
[2026-01-16T23:32:47.503Z] Found assets folder content
[2026-01-16T23:32:47.504Z] Checking: assets/minecraft/models/item/handheld_flipped.json (isDirectory: false)
[2026-01-16T23:32:47.504Z] Found assets folder content
[2026-01-16T23:32:47.504Z] Checking: assets/minecraft/models/item/player_head.json (isDirectory: false)
[2026-01-16T23:32:47.504Z] Found assets folder content
[2026-01-16T23:32:47.505Z] Checking: assets/nexo/models/block/tall_plant.json (isDirectory: false)
[2026-01-16T23:32:47.505Z] Found assets folder content
[2026-01-16T23:32:47.505Z] Checking: assets/nexo/models/required/cancel_icon.json (isDirectory: false)
[2026-01-16T23:32:47.506Z] Found assets folder content
[2026-01-16T23:32:47.506Z] Checking: assets/nexo/models/required/directory_icon.json (isDirectory: false)
[2026-01-16T23:32:47.506Z] Found assets folder content
[2026-01-16T23:32:47.506Z] Checking: assets/nexo/models/required/next_page_icon.json (isDirectory: false)
[2026-01-16T23:32:47.507Z] Found assets folder content
[2026-01-16T23:32:47.507Z] Checking: assets/nexo/models/required/previous_page_icon.json (isDirectory: false)
[2026-01-16T23:32:47.507Z] Found assets folder content
[2026-01-16T23:32:47.507Z] Checking: assets/nexo/models/item/nexo_armor/forest_helmet.json (isDirectory: false)
[2026-01-16T23:32:47.508Z] Found assets folder content
[2026-01-16T23:32:47.508Z] Checking: assets/nexo/models/item/nexo_furniture/arm_chair.json (isDirectory: false)
[2026-01-16T23:32:47.508Z] Found assets folder content
[2026-01-16T23:32:47.509Z] Checking: assets/nexo/models/item/nexo_furniture/arm_chair_dyeable.json (isDirectory: false)
